model_name,mask_name,mask_x,mask_y,component_x,component_y,pixel_distance,norm_distance,prediction_area,gt_area,component_area,component_relative_area,component_intersection,component_union,component_iou,component_pw_recall,component_pw_precision,metric,threshold_pw,dice,fpr,dice_joint,component_precision_joint,component_recall_joint,relative_area_to_gt
8s,0.10061.jpg,509.0,494.5,446.72560975609764,935.05081300813,444.9304648171152,14.404223681129633,3178.0,949,492.0,0.15481434864694776,0.0,1441.0,0.0,0.0,0.0,FALSE_ALARM,0.1,0.0,0.2130331240528253,0.0,0.0,0.0,0.5184404636459431
8s,0.10061.jpg,509.0,494.5,515.5625,950.375,455.9222324380003,14.760072273172671,3178.0,949,16.0,0.005034612964128383,0.0,965.0,0.0,0.0,0.0,FALSE_ALARM,0.1,0.0,0.007723871590634806,0.0,0.0,0.0,0.01685985247629083
8s,0.10061.jpg,509.0,494.5,451.0,956.0,465.1303580717991,15.058177059878386,3178.0,949,1.0,0.00031466331025802404,0.0,950.0,0.0,0.0,0.0,FALSE_ALARM,0.1,0.0,0.0004844961240310077,0.0,0.0,0.0,0.001053740779768177
8s,0.10061.jpg,509.0,494.5,509.10753091045336,508.62832521543646,14.128734419255045,0.457405071126962,3178.0,949,2669.0,0.8398363750786658,949.0,2669.0,0.3555638816035969,1.0,0.3555638816035969,CORRECT_DETECTION,0.1,0.5245992260917635,,0.5245992260917635,0.3555638816035969,1.0,2.8124341412012646
8s,0.10025.jpg,556.5,429.5,552.5827280064568,427.7154963680387,4.304587446420482,0.07527452140761205,2478.0,1548,2478.0,1.0,1545.0,2481.0,0.6227327690447401,0.998062015503876,0.6234866828087167,CORRECT_DETECTION,0.1,0.767511177347243,,0.767511177347243,0.6234866828087167,0.998062015503876,1.6007751937984496
8s,0.10021.jpg,541.5,388.5,,,,,,2806,,,,,,,,DETECTION_FAILURE,0.1,,,,,,
8s,0.10669.jpg,522.5,496.5,518.4905913978495,499.70362903225805,5.132114214953258,0.10649136996028012,4464.0,3000,4464.0,1.0,2997.0,4467.0,0.6709200805910007,0.9990000000000001,0.6713709677419355,CORRECT_DETECTION,0.1,0.8030546623794212,,0.8030546623794212,0.6713709677419355,0.9990000000000001,1.488
8s,0.10062.jpg,460.0,450.5,459.71910828025483,450.8707006369427,0.4651011937752194,0.010900809229106705,1570.0,977,1570.0,1.0,977.0,1570.0,0.6222929936305732,1.0,0.6222929936305732,CORRECT_DETECTION,0.1,0.7671770710639969,,0.7671770710639969,0.6222929936305732,1.0,1.6069600818833163
8s,0.10136.jpg,524.0,515.0,521.8659097053257,516.4198432008651,2.563258882919494,0.029552135179290288,3699.0,2821,3699.0,1.0,2819.0,3701.0,0.7616860308024859,0.9992910315490959,0.7620978642876453,CORRECT_DETECTION,0.1,0.8647239263803681,,0.8647239263803681,0.7620978642876453,0.9992910315490959,1.3112371499468274
8s,0.10121.jpg,510.5,532.5,828.0,12.0,609.6937755955854,8.901778998193741,2902.0,2491,5.0,0.001722949689869056,0.0,2496.0,0.0,0.0,0.0,FALSE_ALARM,0.1,0.0,0.0018525379770285288,0.0,0.0,0.0,0.002007226013649137
